sorting_criteria,post_ID,commentor_username,comment_text,comment_time
following,27243781,ashikelahe50,Beautifully done,about 14 hours
following,27243781,jahid-hasansk,Awesome design!,about 14 hours
following,27243781,uixshoyeb,Amazing work,about 15 hours
following,27243781,mduzzalh2222,Super work,about 15 hours
following,27243781,Unkern93,Your design skills are truly inspiring.,about 15 hours
following,27243781,uimahinur,Cool work,about 15 hours
following,27243781,hasan4362,Top-notch work! 🚀,about 15 hours
following,27243781,cre8product,Interesting and professional!,about 15 hours
following,27243781,attabur32,Nice,about 15 hours
following,27243781,uxyeasin,Beautiful work,about 15 hours
following,27243781,MilonAhmed,awesome work!,about 15 hours
following,27243781,rejuar_rahman,Good job brother,about 15 hours
following,27243781,shrabon94,Excellent Work,about 15 hours
following,27243781,sudarshanroy009,Good work,about 15 hours
following,27243781,helenasuiux,Nice Concept,about 15 hours
following,27243781,uihasan2828,Looks both outstanding and creative—great work!,about 15 hours
following,27242855,bayejidhawlader,"Nice concept, it reads quickly.",17 minutes
following,27242855,gdshammi,This project is visually impressive,about 6 hours
following,27242855,designbykhosbur,Fresh Design,about 8 hours
following,27242855,uimaruf,Professional work. Love the color. Keep it up!,about 8 hours
following,27242855,BILLAHSB0505,Pure design excellence!,about 8 hours
following,27242855,skabuhena,Great job!,about 8 hours
following,27242855,tamimalarafat,The consistency across screens is really satisfying!,about 8 hours
following,27242855,suraiya-islam,Such a slick and polished outcome!,about 9 hours
following,27242855,uxuirahanuma,Looks great 👌,about 9 hours
following,27242855,attabur3262,A true source of inspiration — keep it up 👍👍,about 9 hours
following,27242855,alomgir08,Nice,about 9 hours
following,27242855,Shimulsb,Premium!,about 10 hours
following,27242855,gm-studio,Fantastic design animation,about 10 hours
following,27242855,Rifatony,amazing work!,about 10 hours
following,27242855,alyuiux,Amazing work!,about 10 hours
following,27242855,nazmuluxuicraftworks,Creative Work,about 12 hours
following,27242855,yeasinarafat33,Great attention to detail here,about 12 hours
following,27242855,shasankocreations,Excellent Work,about 14 hours
following,27242855,uixshoyeb,The typography choice makes everything feel premium.,about 14 hours
following,27242855,rahidulmin007,Clean and precisely composed layout.,about 14 hours
following,27242855,luminar-workshop,Outstanding looking,about 14 hours
following,27242855,jahid7755,professional work.,about 14 hours
following,27242855,Badhon_k,Clean design,about 16 hours
following,27242855,BDuzzal123-,Super work,about 16 hours
following,27242855,SARKAR07,Great work,about 16 hours
following,27242855,goflickstudio,Fantastic work,about 16 hours
following,27242855,Octopus_ds,Thx for inspiring me !,about 16 hours
following,27242855,StasyaSavchuk,Fantastic !,about 16 hours
following,27242855,anya2001,nice,about 16 hours
following,27242855,michaela_sun97,nice,about 16 hours
following,27242855,Felipe_Bryant,over the top!!,about 16 hours
following,27242855,eastplayersteam,Woaaaa! Nice design as always,about 16 hours
following,27242855,farhana-sharmin,Good design.,about 16 hours
following,27242855,awe_graphics,nice work,about 16 hours
following,27242855,robdoode,Unbelievable!,about 16 hours
following,27242855,Chris__ling,woa! nice,about 16 hours
following,27242855,Margaret_Jones,It's really outstanding!,about 16 hours
following,27242855,AlexStone5,Great as usual :-),about 16 hours
following,27242855,Andy_Fox,Good works you have,about 16 hours
following,27243514,orbixstudiobranding,Awesome work,about 9 hours
following,27243514,xinyanart,@Dmitrii Shchukin thank you,about 10 hours
following,27243514,xinyanart,@Sohan Ahmed thank you,about 10 hours
following,27243514,Schukin-ds,You have very kind drawings,about 13 hours
following,27243514,sohandev,Precious ✨,about 14 hours
